Starting to train ATE model...
Starting ATE Training...
Epoch 1/5...
  Batch 450/451 - Loss: 0.0535
Epoch 5 completed. Average Loss: 0.0140
ATE Training Completed.
Starting to test ATE model...
              precision    recall  f1-score   support
ATE Training Completed.
Starting to test ATE model...
              precision    recall  f1-score   support
Starting to test ATE model...
              precision    recall  f1-score   support

              precision    recall  f1-score   support


  Non-Aspect       0.99      0.99      0.99     32262
      B-Term       0.89      0.89      0.89      4022
      I-Term       0.86      0.80      0.83      2141

    accuracy                           0.97     38425
    accuracy                           0.97     38425
   macro avg       0.91      0.90      0.90     38425
weighted avg       0.97      0.97      0.97     38425
